Food,Serving,Calories,food_image
Potato Salad,1/3 cup (95 g),136 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/chicken-schnitzel-with-mashed-potatoes.jpg
Pulled Pork Sandwich,1 sandwich (261 g),551 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/11/pulled-pork-sandwich-with-cheese-sauce-1.jpg
Ramen,"1 package, dry (85 g)",380 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/barbecued-grilled-dark-ramen.jpg
Ravioli,5 ravioli (66 g),134 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/making-homemade-ravioli.jpg
Reuben Sandwich,1 sandwich (308 g),641 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/argentinian-beef-steak-sandwich.jpg
Roast Beef,1 slice (21 g),23 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/cutting-roastbeef.jpg
Roast Dinner,1 slice (121 g),240 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/roasted-pork-belly.jpg
Sausage Roll,1 roll (103 g),361 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/sausage-rolls.jpg
Sausage Rolls,1 roll (34 g),101 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/sausage-rolls.jpg
Shepherds Pie,1 pie (227 g),159 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/spicy-plum-pie.jpg
Shrimp Cocktail,1 oz. (28 g),130 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/gin-and-tonic-cocktail-with-orange-and-thyme.jpg
Spaghetti Bolognese,1 serving (283 g),374 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/05/pasta-spaghetti-with-basil-and-a-wooden-spoon.jpg
Spring Roll,1 roll (140 g),350 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/06/vietnamese-spring-rolls-on-a-table.jpg
Spring Rolls,1 roll (140 g),350 cal,https://www.foodiesfeed.com/wp-content/uploads/2022/06/vietnamese-spring-rolls-on-a-table.jpg
Taco,1 taco (98 g),213 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/09/tasty-chicken-tacos-with-cheese.jpg
Tandoori Chicken,1 serving (175 g),198 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/12/grilling-chicken-satay.jpg
Yorkshire Pudding,1 pudding (15 g),83 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/09/chia-pudding.jpg
Brown Rice,1 cup (195 g),757 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/05/melting-chocolate-brownie.jpg
Corn Waffles,1 waffle (40 g),110 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/04/chocolate-waffles-and-coffee.jpg
Couscous,1 cup (173 g),650 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/06/tambaqui-grelhado-com-cuscuz-marroquino.jpg
Cracker,1 cracker (7 g),35 cal,https://www.foodiesfeed.com/wp-content/uploads/2018/12/easy-gravlax-appetizer.jpg
Durum Wheat Semolina,1 tbsp (30 g),119 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Gluten,1 oz. (28 g),104 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/11/glutenfree-dumbling-1.jpg
Grissini,1 grissini (5 g),20 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/04/grissini-e1621347370952.jpg
Millet Flour,1 cup (140 g),521 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/bread-with-wheat-and-flour.jpg
Oat Bran,1 cup (94 g),231 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/cup-of-oatmeal-with-berries-and-coconut.jpg
Pearl Barley,1 cup (157 g),553 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/01/pearly-white-porcelain-teapot-and-cup.jpg
Polenta,1 cup (150 g),549 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/04/italian-corn-polenta-with-cheese-and-basil.jpg
Prawn Crackers,1 cracker (3 g),16 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/korean-spicy-seafood-soup-with-king-prawns.jpg
Pretzel Sticks,20 sticks (12 g),46 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/06/eating-pretzel-with-sesame-seeds-scaled.jpg
Quinoa,1 cup (170 g),626 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/04/potato-quinoa-patties.jpg
Rye Bran,1 cup (150 g),422 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/01/homemade-artisan-sourdough-bread.jpg
Savoury Biscuits,40 grams (40 g),139 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/02/orange-madeleine-cakes.jpg
Sunflower Seeds,1 cup (140 g),818 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/07/nourishing-seeds.jpg
Tortilla,1 tortilla (197 g),467 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/10/tortilla-chips-with-salsa.jpg
Tortilla Chips,20 chips (32 g),160 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/10/tortilla-chips-with-salsa.jpg
Wheat Bran,1 cup (58 g),125 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Wheat Germ,1 cup (113 g),432 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Wheat Gluten,1 tsp (3 g),10 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Wheat Semolina,1 cup (167 g),601 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Wheat Starch,1 cup (110 g),386 cal,https://www.foodiesfeed.com/wp-content/uploads/2017/07/homemade-bakery-cereal-full-sight-bun.jpg
Whole Grain Wheat,1 cup (120 g),407 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/perfect-wholegrain-bread.jpg
Wholegrain Oat,1 cup (80 g),300 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/09/perfect-wholegrain-bread.jpg
Almond Oil,1 tbsp (14 ml),123 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/11/peeled-almonds-with-coconut-and-blueberries.jpg
Apricot Kernel Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/04/short-drink-with-dried-apricot.jpg
Argan Oil,1 tbsp (14 ml),125 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Avocado Oil,1 tbsp (14 ml),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Babassu Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Canola Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Coconut Oil,1 tbsp (14 ml),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2021/05/fresh-coconut.jpg
Corn Oil,1 tbsp (15 ml),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/04/popcorn-detail-on-a-white-background.jpg
Cottonseed Oil,1 tbsp (14 ml),123 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Flaxseed Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Grape Seed Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Hazelnut Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2016/05/hazelnuts-in-a-mixer.jpg
Linseed Oil,1 tbsp (14 ml),117 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Menhaden Oil,1 tbsp (14 ml),128 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Mustard Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2020/05/azeite-aromatizado-com-alho.jpg
Oat Oil,1 tbsp (14 ml),124 cal,https://www.foodiesfeed.com/wp-content/uploads/2015/03/cup-of-oatmeal-with-berries-and-coconut.jpg
Olive Oil,1 tbsp (15 ml),120 cal,https://www.foodiesfeed.com/wp-content/uploads/2023/03/extra-virgin-olive-oil-with-olives-in-a-small-bowl.jpg
Palm Kernel Oil,1 tbsp (14 ml),123 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/01/holding-donut-near-palm-trees.jpg
Palm Oil,1 tbsp (14 ml),123 cal,https://www.foodiesfeed.com/wp-content/uploads/2019/01/holding-donut-near-palm-trees.jpg
